Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
14F6K12-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,K1-E,F6-2_air_panel.pdf,14F6K12-1511.stp
14F6K12-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,K1-E,F6-2_air_push.pdf,14F6K12-1513.stp
14F6K12-3911,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,K1-E,F6-2_air_panel.pdf,14F6K12-3911.stp
14F6K12-3913,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,K1-E,F6-2_air_push.pdf,14F6K12-3913.stp
14F6K12-391H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,K1-E,F6-2_conv_push.pdf,14F6K12-391H.stp
14F6P52-1531,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,P5-3,F6-2_air_panel.pdf,14F6P52-1531.stp
14F6P52-1533,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,P5-3,F6-2_air_push.pdf,14F6P52-1533.stp
14F6P52-1541,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,P5-4,F6-2_air_panel.pdf,14F6P52-1541.stp
14F6P52-1543,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,P5-4,F6-2_air_push.pdf,14F6P52-1543.stp
14F6P52-1551,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,P5-5,F6-2_air_panel.pdf,14F6P52-1551.stp
14F6P52-1553,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,P5-5,F6-2_air_push.pdf,14F6P52-1553.stp
14F6P52-3931,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-3,F6-2_air_panel.pdf,14F6P52-3931.stp
