Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
16F6A33-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,A3,F6-3_air_panel.pdf,16F6A33-1511.stp
16F6A33-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,A3,F6-3_air_push.pdf,16F6A33-1513.stp
17F6A13-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,A1,F6-3_air_panel.pdf,17F6A13-1511.stp
17F6A13-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,A1,F6-3_air_push.pdf,17F6A13-1513.stp
17F6A13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A1,F6-3_air_panel.pdf,17F6A13-3411.stp
17F6A13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A1,F6-3_water_panel.pdf,17F6A13-3412.stp
17F6A13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A1,F6-3_air_push.pdf,17F6A13-3413.stp
17F6A13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A1,F6-3_water_push.pdf,17F6A13-3414.stp
17F6A33-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,A3,F6-3_air_panel.pdf,17F6A33-1511.stp
17F6A33-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,A3,F6-3_air_push.pdf,17F6A33-1513.stp
17F6A33-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A3,F6-3_air_panel.pdf,17F6A33-3411.stp
17F6A33-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A3,F6-3_water_panel.pdf,17F6A33-3412.stp
17F6A33-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A3,F6-3_air_push.pdf,17F6A33-3413.stp
17F6A33-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,A3,F6-3_water_push.pdf,17F6A33-3414.stp
18F6A13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A1,F6-3_air_panel.pdf,18F6A13-3411.stp
18F6A13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A1,F6-3_water_panel.pdf,18F6A13-3412.stp
18F6A13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A1,F6-3_air_push.pdf,18F6A13-3413.stp
18F6A13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A1,F6-3_water_push.pdf,18F6A13-3414.stp
18F6A33-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A3,F6-3_air_panel.pdf,18F6A33-3411.stp
18F6A33-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A3,F6-3_water_panel.pdf,18F6A33-3412.stp
18F6A33-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A3,F6-3_air_push.pdf,18F6A33-3413.stp
18F6A33-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,A3,F6-3_water_push.pdf,18F6A33-3414.stp
19F6A13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A1,F6-3_air_panel.pdf,19F6A13-3411.stp
19F6A13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A1,F6-3_water_panel.pdf,19F6A13-3412.stp
19F6A13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A1,F6-3_air_push.pdf,19F6A13-3413.stp
19F6A13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A1,F6-3_water_push.pdf,19F6A13-3414.stp
19F6A13-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A1,F6-3_air_panel.pdf,19F6A13-3511.stp
19F6A13-3512,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A1,F6-3_water_panel.pdf,19F6A13-3512.stp
19F6A13-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A1,F6-3_air_push.pdf,19F6A13-3513.stp
19F6A13-3514,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A1,F6-3_water_push.pdf,19F6A13-3514.stp
19F6A33-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A3,F6-3_air_panel.pdf,19F6A33-3411.stp
19F6A33-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A3,F6-3_water_panel.pdf,19F6A33-3412.stp
19F6A33-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A3,F6-3_air_push.pdf,19F6A33-3413.stp
19F6A33-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,A3,F6-3_water_push.pdf,19F6A33-3414.stp
19F6A33-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A3,F6-3_air_panel.pdf,19F6A33-3511.stp
19F6A33-3512,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A3,F6-3_water_panel.pdf,19F6A33-3512.stp
19F6A33-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A3,F6-3_air_push.pdf,19F6A33-3513.stp
19F6A33-3514,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,A3,F6-3_water_push.pdf,19F6A33-3514.stp
20F6A13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A1,F6-3_air_panel.pdf,20F6A13-3411.stp
20F6A13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A1,F6-3_water_panel.pdf,20F6A13-3412.stp
20F6A13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A1,F6-3_air_push.pdf,20F6A13-3413.stp
20F6A13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A1,F6-3_water_push.pdf,20F6A13-3414.stp
20F6A33-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A3,F6-3_air_panel.pdf,20F6A33-3411.stp
20F6A33-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A3,F6-3_water_panel.pdf,20F6A33-3412.stp
20F6A33-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A3,F6-3_air_push.pdf,20F6A33-3413.stp
20F6A33-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,A3,F6-3_water_push.pdf,20F6A33-3414.stp
15F6K13-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,K1-E,F6-3_air_panel.pdf,15F6K13-1511.stp
15F6K13-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,K1-E,F6-3_air_push.pdf,15F6K13-1513.stp
16F6K13-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,K1-E,F6-3_air_panel.pdf,16F6K13-1511.stp
16F6K13-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,K1-E,F6-3_air_push.pdf,16F6K13-1513.stp
17F6K13-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,K1-E,F6-3_air_panel.pdf,17F6K13-1511.stp
17F6K13-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,K1-E,F6-3_air_push.pdf,17F6K13-1513.stp
17F6K13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,K1-E,F6-3_air_panel.pdf,17F6K13-3411.stp
17F6K13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,K1-E,F6-3_water_panel.pdf,17F6K13-3412.stp
17F6K13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,K1-E,F6-3_air_push.pdf,17F6K13-3413.stp
17F6K13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,K1-E,F6-3_water_push.pdf,17F6K13-3414.stp
18F6K13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,K1-E,F6-3_air_panel.pdf,18F6K13-3411.stp
18F6K13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,K1-E,F6-3_water_panel.pdf,18F6K13-3412.stp
18F6K13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,K1-E,F6-3_air_push.pdf,18F6K13-3413.stp
18F6K13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,K1-E,F6-3_water_push.pdf,18F6K13-3414.stp
19F6K13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,K1-E,F6-3_air_panel.pdf,19F6K13-3411.stp
19F6K13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,K1-E,F6-3_water_panel.pdf,19F6K13-3412.stp
19F6K13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,K1-E,F6-3_air_push.pdf,19F6K13-3413.stp
19F6K13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,K1-E,F6-3_water_push.pdf,19F6K13-3414.stp
19F6K13-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,K1-E,F6-3_air_panel.pdf,19F6K13-3511.stp
19F6K13-3512,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,K1-E,F6-3_water_panel.pdf,19F6K13-3512.stp
19F6K13-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,K1-E,F6-3_air_push.pdf,19F6K13-3513.stp
19F6K13-3514,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,K1-E,F6-3_water_push.pdf,19F6K13-3514.stp
20F6K13-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,K1-E,F6-3_air_panel.pdf,20F6K13-3411.stp
20F6K13-3412,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,K1-E,F6-3_water_panel.pdf,20F6K13-3412.stp
20F6K13-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,K1-E,F6-3_air_push.pdf,20F6K13-3413.stp
20F6K13-3414,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,K1-E,F6-3_water_push.pdf,20F6K13-3414.stp
15F6P53-1531,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,P5-3,F6-3_air_panel.pdf,15F6P53-1531.stp
15F6P53-1533,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,P5-3,F6-3_air_push.pdf,15F6P53-1533.stp
15F6P53-1541,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,P5-4,F6-3_air_panel.pdf,15F6P53-1541.stp
15F6P53-1543,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,P5-4,F6-3_air_push.pdf,15F6P53-1543.stp
15F6P53-1551,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,P5-5,F6-3_air_panel.pdf,15F6P53-1551.stp
15F6P53-1553,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,11,15,48,48,86.40,72,180,150,4,16,P5-5,F6-3_air_push.pdf,15F6P53-1553.stp
16F6P53-1531,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,P5-3,F6-3_air_panel.pdf,16F6P53-1531.stp
16F6P53-1533,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,P5-3,F6-3_air_push.pdf,16F6P53-1533.stp
16F6P53-1541,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,P5-4,F6-3_air_panel.pdf,16F6P53-1541.stp
16F6P53-1543,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,P5-4,F6-3_air_push.pdf,16F6P53-1543.stp
16F6P53-1551,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,P5-5,F6-3_air_panel.pdf,16F6P53-1551.stp
16F6P53-1553,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,15,20,62,60,111.60,93,180,150,4,16,P5-5,F6-3_air_push.pdf,16F6P53-1553.stp
17F6P53-1531,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,P5-3,F6-3_air_panel.pdf,17F6P53-1531.stp
17F6P53-1533,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,P5-3,F6-3_air_push.pdf,17F6P53-1533.stp
17F6P53-1541,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,P5-4,F6-3_air_panel.pdf,17F6P53-1541.stp
17F6P53-1543,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,P5-4,F6-3_air_push.pdf,17F6P53-1543.stp
17F6P53-1551,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,P5-5,F6-3_air_panel.pdf,17F6P53-1551.stp
17F6P53-1553,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,18.5,25,75,75,135,112.50,180,150,4,16,P5-5,F6-3_air_push.pdf,17F6P53-1553.stp
17F6P53-3431,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-3,F6-3_air_panel.pdf,17F6P53-3431.stp
17F6P53-3432,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-3,F6-3_water_panel.pdf,17F6P53-3432.stp
17F6P53-3433,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-3,F6-3_air_push.pdf,17F6P53-3433.stp
17F6P53-3434,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-3,F6-3_water_push.pdf,17F6P53-3434.stp
17F6P53-3441,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-4,F6-3_air_panel.pdf,17F6P53-3441.stp
17F6P53-3442,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-4,F6-3_water_panel.pdf,17F6P53-3442.stp
17F6P53-3443,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-4,F6-3_air_push.pdf,17F6P53-3443.stp
17F6P53-3444,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-4,F6-3_water_push.pdf,17F6P53-3444.stp
17F6P53-3451,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-5,F6-3_air_panel.pdf,17F6P53-3451.stp
17F6P53-3452,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-5,F6-3_water_panel.pdf,17F6P53-3452.stp
17F6P53-3453,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-5,F6-3_air_push.pdf,17F6P53-3453.stp
17F6P53-3454,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,18.5,25,42,34,75.60,63,180,150,2,16,P5-5,F6-3_water_push.pdf,17F6P53-3454.stp
18F6P53-3431,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-3,F6-3_air_panel.pdf,18F6P53-3431.stp
18F6P53-3432,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-3,F6-3_water_panel.pdf,18F6P53-3432.stp
18F6P53-3433,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-3,F6-3_air_push.pdf,18F6P53-3433.stp
18F6P53-3434,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-3,F6-3_water_push.pdf,18F6P53-3434.stp
18F6P53-3441,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-4,F6-3_air_panel.pdf,18F6P53-3441.stp
18F6P53-3442,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-4,F6-3_water_panel.pdf,18F6P53-3442.stp
18F6P53-3443,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-4,F6-3_air_push.pdf,18F6P53-3443.stp
18F6P53-3444,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-4,F6-3_water_push.pdf,18F6P53-3444.stp
18F6P53-3451,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-5,F6-3_air_panel.pdf,18F6P53-3451.stp
18F6P53-3452,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-5,F6-3_water_panel.pdf,18F6P53-3452.stp
18F6P53-3453,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-5,F6-3_air_push.pdf,18F6P53-3453.stp
18F6P53-3454,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,22,30,50,40,90,75,180,150,2,16,P5-5,F6-3_water_push.pdf,18F6P53-3454.stp
19F6P53-3431,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-3,F6-3_air_panel.pdf,19F6P53-3431.stp
19F6P53-3432,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-3,F6-3_water_panel.pdf,19F6P53-3432.stp
19F6P53-3433,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-3,F6-3_air_push.pdf,19F6P53-3433.stp
19F6P53-3434,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-3,F6-3_water_push.pdf,19F6P53-3434.stp
19F6P53-3441,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-4,F6-3_air_panel.pdf,19F6P53-3441.stp
19F6P53-3442,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-4,F6-3_water_panel.pdf,19F6P53-3442.stp
19F6P53-3443,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-4,F6-3_air_push.pdf,19F6P53-3443.stp
19F6P53-3444,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-4,F6-3_water_push.pdf,19F6P53-3444.stp
19F6P53-3451,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-5,F6-3_air_panel.pdf,19F6P53-3451.stp
19F6P53-3452,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-5,F6-3_water_panel.pdf,19F6P53-3452.stp
19F6P53-3453,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-5,F6-3_air_push.pdf,19F6P53-3453.stp
19F6P53-3454,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,2,16,P5-5,F6-3_water_push.pdf,19F6P53-3454.stp
19F6P53-3531,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-3,F6-3_air_panel.pdf,19F6P53-3531.stp
19F6P53-3532,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-3,F6-3_water_panel.pdf,19F6P53-3532.stp
19F6P53-3533,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-3,F6-3_air_push.pdf,19F6P53-3533.stp
19F6P53-3534,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-3,F6-3_water_push.pdf,19F6P53-3534.stp
19F6P53-3541,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-4,F6-3_air_panel.pdf,19F6P53-3541.stp
19F6P53-3542,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-4,F6-3_water_panel.pdf,19F6P53-3542.stp
19F6P53-3543,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-4,F6-3_air_push.pdf,19F6P53-3543.stp
19F6P53-3544,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-4,F6-3_water_push.pdf,19F6P53-3544.stp
19F6P53-3551,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-5,F6-3_air_panel.pdf,19F6P53-3551.stp
19F6P53-3552,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-5,F6-3_water_panel.pdf,19F6P53-3552.stp
19F6P53-3553,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-5,F6-3_air_push.pdf,19F6P53-3553.stp
19F6P53-3554,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,30,40,60,52,108,90,180,150,4,16,P5-5,F6-3_water_push.pdf,19F6P53-3554.stp
20F6P53-3431,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-3,F6-3_air_panel.pdf,20F6P53-3431.stp
20F6P53-3432,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-3,F6-3_water_panel.pdf,20F6P53-3432.stp
20F6P53-3433,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-3,F6-3_air_push.pdf,20F6P53-3433.stp
20F6P53-3434,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-3,F6-3_water_push.pdf,20F6P53-3434.stp
20F6P53-3441,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-4,F6-3_air_panel.pdf,20F6P53-3441.stp
20F6P53-3442,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-4,F6-3_water_panel.pdf,20F6P53-3442.stp
20F6P53-3443,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-4,F6-3_air_push.pdf,20F6P53-3443.stp
20F6P53-3444,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-4,F6-3_water_push.pdf,20F6P53-3444.stp
20F6P53-3451,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-5,F6-3_air_panel.pdf,20F6P53-3451.stp
20F6P53-3452,F6,water cooled / panel mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-5,F6-3_water_panel.pdf,20F6P53-3452.stp
20F6P53-3453,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-5,F6-3_air_push.pdf,20F6P53-3453.stp
20F6P53-3454,F6,water cooled / push-through mount,400V 3 phase,480V 3 phase,none,37,50,75,65,135,112.50,180,150,2,16,P5-5,F6-3_water_push.pdf,20F6P53-3454.stp
