Part Number,Type,Size,Housing,Cooling,Mounting,SubResistors,Voltage,EMI,GTR7,Power_KVA,Power_KW,Power_HP,Irated_IEC_Amps,Irated_UL_Amps,I_OL_Amps,I_OC_Amps,OL2_2kHz_A,OL2_4kHz_A,OL2_8kHz_A,OL2_12kHz_A,OL2_16kHz_A,I_OC_%,I_OL_%,OL2_2kHz_%,OL2_4kHz_%,OL2_8kHz_%,OL2_12kHz_%,OL2_16kHz_%,Rated_kHz,Max_kHz,BaseBlockTime_ms
24F6K16-3412,F6,24,6,water,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3413,F6,24,6,air,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3414,F6,24,6,water,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3416,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3417,F6,24,6,oil,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3419,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3421,F6,24,6,air,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3422,F6,24,6,water,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3423,F6,24,6,air,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3424,F6,24,6,water,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3426,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3429,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3516,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6K16-3517,F6,24,6,oil,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6K16-3519,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6K16-3526,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-3527,F6,24,6,oil,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6K16-3529,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6K16-4411,F6,24,6,air,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-4412,F6,24,6,water,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-4413,F6,24,6,air,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-4414,F6,24,6,water,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-4421,F6,24,6,air,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-4422,F6,24,6,water,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-4423,F6,24,6,air,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-4424,F6,24,6,water,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6K16-AE1E,F6,24,6,water,panel (high perf),none,400V 3ph,none,std,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
24F6K16-AE1G,F6,24,6,water,push-through (high perf),none,400V 3ph,none,std,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
24F6K16-AE2E,F6,24,6,water,panel (high perf),none,400V 3ph,none,std,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
24F6K16-AE2G,F6,24,6,water,push-through (high perf),none,400V 3ph,none,std,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
24F6K16-BE1E,F6,24,6,water,panel (high perf),none,400V 3ph,none,none,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
24F6K16-BE1G,F6,24,6,water,push-through (high perf),none,400V 3ph,none,none,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
24F6K16-BE2E,F6,24,6,water,panel (high perf),none,400V 3ph,none,none,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
24F6K16-BE2G,F6,24,6,water,push-through (high perf),none,400V 3ph,none,none,125,90,125,180,156,270,324,203.994,156.006,108,77.994,59.994,180,150,113.33,86.67,60.00,43.33,33.33,2,16,3000
